"6.05 Fractions, Decimals, and Percents I","6.05 Fracciones, decimales y porcentajes I",,,,,,,,,,,,,,,,,,,,,,
"Uses images to demonstrate ratios and asks student to determine corresponding fractions, percents, and decimals.","Usa imágenes para demostrar razones y le pide al estudiante que determine las fracciones, porcentajes y decimales correspondientes.",,,,,,,,,,,,,,,,,,,,,,
Number of Target Items,Número de elementos de destino,,,,,,,,,,,,,,,,,,,,,,
Total Number of Items,Número total de artículos,,,,,,,,,,,,,,,,,,,,,,
Unreduced Ratio,Proporción no reducida,,,,,,,,,,,,,,,,,,,,,,
Ratio Out of 100,Proporción de 100,,,,,,,,,,,,,,,,,,,,,,
Percent,Por ciento,,,,,,,,,,,,,,,,,,,,,,
Decimal,Decimal,,,,,,,,,,,,,,,,,,,,,,
Reduced Fraction,Fracción reducida,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem1,ProblemESP1,Problem Name,Problem2,ProblemESP2,Problem Name,Problem3,ProblemESP3,Problem Name,Problem4,ProblemESP4,Problem Name,Problem5,ProblemESP5,Problem Name,Problem6,ProblemESP6,Problem Name,Problem7,ProblemESP7,Problem Name,Problem8,ProblemESP8
%(1031616038510718139)%,Try entering 60.,Intente ingresar 60.,%(7774422915935354662)%,simplify(1/20*10),vsimplificar (1/20 * 10),%(-2997556519494578173)%,9/10,9/10,%(6656039988060078)%,40,40,%(-2533586758542539383)%,Need more help? Greatest common factor of 9 and 10 is 1.,Necesitas más ayuda? Máximo común divisor de 9 y 10 es 1.,%(2743083682655765377)%,Try entering <%= 38/40*100 %>/100.,Intente ingresar <% = 38/40 * 100%> / 100.,%(5329086701325074261)%,Try entering 80/100.,Intente ingresar 80/100.,%(4890526530036366970)%,Count total items,Contar elementos totales
%(6912041526062352)%,60,60,%(4890526530036366970)%,Count total items,Contar elementos totales,%(-2325428917959356050)%,simplify(45/50*10),simplificar (45/50 * 10),%(7430231617330530380)%,"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!","Para dividir el número por 10, salte el punto decimal un lugar hacia la IZQUIERDA. Si es un número entero, ¡hay un punto decimal 'invisible' en el lado derecho del número!",%(6903154336059981128)%,"To make the unreduced ratio, 7/10, a reduced fraction, first find the greatest common factor of the numerator and the denominator.","Para hacer que la razón no reducida, 7/10, sea una fracción reducida, primero encuentra el máximo común divisor del numerador y el denominador.",%(6272037681056613)%,14,14,%(2617334476045040055)%,"To work through question 4, you must first find the number of shapes that are circles.","Para resolver la pregunta 4, primero debes encontrar la cantidad de formas que son círculos.",%(7430231617330530380)%,"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!","Para dividir el número por 10, salte el punto decimal un lugar hacia la IZQUIERDA. Si es un número entero, ¡hay un punto decimal 'invisible' en el lado derecho del número!"
%(4350922609440676025)%,"Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.",Dividir por 100 equivale a dividir por 10 y luego volver a dividir por 10.,%(-5942202012904038795)%,Try entering 15/20.,Intente ingresar 15/20.,%(5144357299206125112)%,"If the ratio out 100 is 70/100, the percent is its numerator, 70.","Si la relación de 100 es 70/100, el porcentaje es su numerador, 70.",%(5329086701325074261)%,Try entering 80/100.,Intente ingresar 80/100.,%(7430231617330530380)%,"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!","Para dividir el número por 10, salte el punto decimal un lugar hacia la IZQUIERDA. Si es un número entero, ¡hay un punto decimal 'invisible' en el lado derecho del número!",%(4890526530036366970)%,Count total items,Contar elementos totales,%(8353785471244537622)%,40/100,40/100,%(-180104423050408434)%,Need more help? Greatest common factor of 9 and 15 is 3.,Necesitas más ayuda? Máximo común divisor de 9 y 15 es 3.
%(6400038450057764)%,20,20,%(7430231617330530380)%,"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!","Para dividir el número por 10, salte el punto decimal un lugar hacia la IZQUIERDA. Si es un número entero, ¡hay un punto decimal 'invisible' en el lado derecho del número!",%(4890526530036366970)%,Count total items,Contar elementos totales,%(6912041526062352)%,60,60,%(-6589412725015326750)%,Try entering 70/100.,Intente ingresar 70/100.,%(7430231617330530380)%,"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!","Para dividir el número por 10, salte el punto decimal un lugar hacia la IZQUIERDA. Si es un número entero, ¡hay un punto decimal 'invisible' en el lado derecho del número!",%(6912041526062352)%,60,60,%(-4105587763761063615)%,"3 is the numerator, and 15 is the denominator. Divide 3 and 15 by their greatest common factor.",3 es el numerador y 15 es el denominador. Divida 3 y 15 por su máximo común divisor.
%(-4033484238428849191)%,"Try entering <%=divEvaluate(fractionMake(100,100))%>.","Intente ingresar <% = divEvaluate (transactionMake (100,100))%>.",%(-5373540541422032240)%,How many shapes are not blue?,¿Cuántas formas no son azules?,%(7165980316718604485)%,90/100,90/100,%(6400038450057764)%,20,20,%(8094381309798744894)%,Try entering 1/10.,Intente ingresar 1/10.,%(3987414855936955511)%,(1) What percent of the shapes are not yellow?,(1) ¿Qué porcentaje de las formas no son amarillas?,%(-6535272938401710906)%,The ratio out of 100 is written as <%= 2/5*100 %>/100. Please express this value as a decimal.,"La proporción de 100 se escribe como <% = 2/5 * 100%> / 100. Por favor, exprese este valor como decimal.",%(5329086701325074261)%,Try entering 80/100.,Intente ingresar 80/100.
%(-9157704886067185629)%,"Do you know how to find an equivalent fraction of 5/100 that has denominator of 100? You already know the denominator. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente a 5/100 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿Cuál sería su numerador?",%(2749424887783560654)%,"To work through question 1, you must first find the number of shapes that are green.","Para resolver la pregunta 1, primero debe encontrar la cantidad de formas que son verdes.",%(7430231617330530380)%,"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!","Para dividir el número por 10, salte el punto decimal un lugar hacia la IZQUIERDA. Si es un número entero, ¡hay un punto decimal 'invisible' en el lado derecho del número!",%(-7664861875517758440)%,Assets/04.png,Assets/04.png,%(163512108406620367)%,10%,10%,%(9016633285573294589)%,Try entering <%= 38/40*100 %>.,Intente ingresar <% = 38/40 * 100%>.,%(-582214299196418684)%,Try entering 2/5.,Intente ingresar 2/5.,%(4297636035904329149)%,Try entering 9/15.,Intente ingresar el 15/9.
%(-4152154918991888143)%,"Do you know how to find an equivalent fraction of 60/100 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 60/100 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(-1002933216161587995)%,How many shapes are green?,¿Cuántas formas son verdes?,%(-832479546062440267)%,"To work through question 2, you must first find the number of shapes that are circles.","Para trabajar con la pregunta 2, primero debes encontrar la cantidad de formas que son círculos.",%(6885737032652515977)%,"Try entering <%=divEvaluate(fractionMake(10,25))%>.","Intente ingresar <%=divEvaluate(fractionMake(10,25))%>.",%(-2072997039021814704)%,Try entering 10/100.,Intente ingresar 10/100.,%(3997611710908783396)%,Need more help? Greatest common factor of 38 and 40 is 2.,Necesitas más ayuda? Máximo común divisor de 38 y 40 es 2.,%(1289567620941478283)%,0.2,0.2,%(6912041526062352)%,60,60
%(1289567620941478283)%,0.2,0.2,%(4350922609440676025)%,"Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.",Dividir por 100 equivale a dividir por 10 y luego volver a dividir por 10.,%(-6589412725015326750)%,Try entering 70/100.,Intente ingresar 70/100.,%(2390023936006711404)%,simplify(10/25*10),simplificar (10/25 * 10),%(-1307503128143471637)%,The ratio out of 100 is written as 90/100. Please express this value as a decimal.,"La razón de 100 se escribe como 90/100. Por favor, exprese este valor como decimal.",%(-4747636654488845667)%,"Do you know how to find an equivalent fraction of 9/40 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 9/40 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(-2364831301823444769)%,simplify(4/5*10),simplificar (4/5 * 10),%(6400038450057764)%,20,20
%(-5905703206812105067)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 60, and multiply it by 100 and then divide it by 100, the original denominator: 60*100/100.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 60, y multiplicarlo por 100 y luego dividirlo por 100, el denominador original: 60 * 100/100.",%(6400038450057764)%,20,20,%(2247262653647856043)%,simplify(5/50*10),simplificar (5/50 * 10),%(-2530292302244905152)%,"Do you know how to find an equivalent fraction of 5/25 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 5/25 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(-3468024181642869102)%,"To work through question 4, you must first find the number of pieces that are blue squares.","Para resolver la pregunta 4, primero debes encontrar la cantidad de piezas que son cuadrados azules.",%(4297641035905329067)%,Try entering 9/40.,Intente ingresar 9/40.,%(6400019251)%,2,2,%(-2841541476045656655)%,"Do you know how to find an equivalent fraction of 3/15 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 3/15 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?"
%(3271177890671241758)%,"If the ratio out 100 is 5/100, the percent is its numerator, 5.","Si la razón de 100 es 5/100, el porcentaje es su numerador, 5.",%(-8580922853005669571)%,Try entering 75/100.,Intente ingresar 75/100.,%(163512108406620367)%,10%,10%,%(7595283634124484379)%,(2) What percent of the shapes are yellow?,(2) ¿Qué porcentaje de las formas son amarillas?,%(2318520057078849331)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 10/100. The percent representation is just the numerator of this ratio, 10.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 10/100. La representación porcentual es solo el numerador de esta razón, 10.",%(2761193566153288790)%,count total items,contar artículos totales,%(777209024751717135)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 20/100. La representación porcentual es solo el numerador de esta razón, 20.",%(-4560639866717835841)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 9, and multiply it by 100 and then divide it by 15, the original denominator: 9*100/15.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 9, y multiplicarlo por 100 y luego dividirlo por 15, el denominador original: 9 * 100/15."
%(777209024751717135)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 20/100. La representación porcentual es solo el numerador de esta razón, 20.",%(-6592820966659526826)%,75%,75%,%(1681431703043801166)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 50, the original denominator: 5*100/50.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 5, y multiplicarlo por 100 y luego dividirlo por 50, el denominador original: 5 * 100/50.",%(-1940482894500331831)%,"10 is the numerator, and 25 is the denominator. Divide 10 and 25 by their greatest common factor.",10 es el numerador y 25 es el denominador. Divida 10 y 25 por su máximo común divisor.,%(-2254490191896382057)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 40/100. La representación porcentual es solo el numerador de esta razón, 40.",%(3230757806249081539)%,Need more help? Greatest common factor of 26 and 40 is 2.,Necesitas más ayuda? Máximo común divisor de 26 y 40 es 2.,%(-3214654429107953118)%,40%,40%,%(2461891972719738511)%,12/15,12/15
%(-684294073066953929)%,Try entering 5/100.,Intente ingresar 5/100.,%(6407235933920934779)%,"To turn 5/20 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 5/20 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que ya no se pueda simplificar más.",%(-1307503128143471637)%,The ratio out of 100 is written as 90/100. Please express this value as a decimal.,"La razón de 100 se escribe como 90/100. Por favor, exprese este valor como decimal.",%(777209024751717135)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 20/100. La representación porcentual es solo el numerador de esta razón, 20.",%(2173643113025608817)%,(3) What percent of the shapes are squares?,(3) ¿Qué porcentaje de las formas son cuadrados?,%(-5196032906889485651)%,"Try entering <%=divEvaluate(fractionMake(9,40))%>.","Intente ingresar <%=divEvaluate(fractionMake(9,40))%>.",%(-1913625683704650596)%,"If the ratio out 100 is 80/100, the percent is its numerator, 80.","Si la relación de 100 es 80/100, el porcentaje es su numerador, 80.",%(1289567620941478283)%,0.2,0.2
%(3674308739518651269)%,"Try entering <%=fractionsimplify(fractionMake(20,100))%>.","Intente ingresar <% = fraccionesimplificar (fracciónMake (20,100))%>.",%(7595283634124484379)%,(2) What percent of the shapes are yellow?,(2) ¿Qué porcentaje de las formas son amarillas?,%(2318520057078849331)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 10/100. The percent representation is just the numerator of this ratio, 10.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 10/100. La representación porcentual es solo el numerador de esta razón, 10.",%(-3214654429107953118)%,40%,40%,%(7296043833065817)%,90,90,%(-2997556519499578148)%,9/40,9/40,%(-5466765454149668976)%,60%,60%,%(2212103575530877753)%,"To work through question 1, you must first find the number of shapes that are blue circles.","Para resolver la pregunta 1, primero debes encontrar la cantidad de formas que son círculos azules."
%(-5466765454149668976)%,60%,60%,%(-684294073066953929)%,Try entering 5/100.,Intente ingresar 5/100.,%(8528608054821610085)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 35/50 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 35/50 a 100.",%(-1913625683704650596)%,"If the ratio out 100 is 80/100, the percent is its numerator, 80.","Si la relación de 100 es 80/100, el porcentaje es su numerador, 80.",%(8581603542511277683)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 4, and multiply it by 100 and then divide it by 10, the original denominator: 4*100/10.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 4, y multiplicarlo por 100 y luego dividirlo por 10, el denominador original: 4 * 100/10.",%(1031612038520718201)%,Try entering 26.,Intente ingresar 26.,%(-4939676037246749087)%,Need more help? Greatest common factor of 2 and 5 is 1.,Necesitas más ayuda? Máximo común divisor de 2 y 5 es 1.,%(6912020791)%,6,6
