Problem Name	00bubble	01book	02cheese	03chain	04school	05height	06fence	07sandwich	08swim	09pie	10homework	11pizza	12charity	13school	14candy	15sauce	16chemistry	17salad	18prize	19history
%(ch3)%	Both live the same distance from Ted.	Both have read an equal amount of the novel.	Both pieces of cheese weigh the same.	Both built the same length of paper chain.	Both live the same distance from the school.	Both grew the same amouth.	Both painted same amount of fence.	Both ate the same amount of their sandwich.	Both are equally matched!	Both have eaten the same amount of their pies.	Both have completed same amount.	Both ate the same amount of their pizza.	Both ran for the same amount of hours.	Both live the same distance from the school.	Both have the same amount of candy.	Both will have same amount of ground beef.	No; Jason was not right. Both have the same amount of acid.	Charlie will like both salads.	Both of them were searching for the same amount of time.	Both worked the same amount of time.
%(compQuestion)%	Who lives closer to Ted?	Who has read less of the novel?	Is Katie right?	Who built a longer piece of paper chain?	Who lives closer to school?	Who has grown more?	Who has painted more fence?	Who has eaten more of their sandwich?	Who should the coach pick for the competition?	Who has eaten less of their pie?	Is Shannon right?	Who has eaten more pizza?	Who ran for more hours?	Who lives farther from the school?	Who has less candy?	Which sauce should you choose?	Was Jason right?	Which Salad should Charlie eat?	Was Amy searching for less hours?	Who was working longer?
%(ch-ans)%	%(ch2)%	%(ch2)%	%(ch2)%	%(ch1)%	%(ch3)%	%(ch2)%	%(ch1)%	%(ch1)%	%(ch2)%	%(ch3)%	%(ch1)%	%(ch3)%	%(ch1)%	%(ch2)%	%(ch2)%	%(ch1)%	%(ch1)%	%(ch2)%	%(ch3)%	%(ch1)%
%(num1)%	-	1	2	5	4	5	2	2	3	3	1	2	8	13	9	10	15	11	3	5
%(den1)%	3	4	5	6	10	12	3	3	10	4	3	8	7	10	8	9	8	6	2	4
%(frac1)%	1/3	1/4	2/5	5/6	4/10	5/12	2/3	2/3	3/10	3/4	1/3	2/8	8/7	13/10	9/8	10/9	15/8	11/6	3/2	5/4
%(num2)%	-	1	2	4	2	1	4	2	1	6	2	1	8	5	11	-	13	10	6	4
%(den2)%	5	5	3	5	5	2	7	4	3	8	9	4	8	3	10	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|	7	5	4	5
%(frac2)%	1/5	1/5	2/3	4/5	2/5	1/2	4/7	2/4	1/3	6/8	2/9	1/4	8/8	5/3	11/10	1	13/7	10/5	6/4	4/5
%(badFrac1)%	-	0/4	1/5	4/6	3/10	4/12	1/3	1/3	2/10	2/4	0/3	1/8	7/7	12/10	8/8	9/9	14/8	10/6	2/2	4/4
%(badFrac2)%	-	0/5	1/3	3/5	1/5	0/2	3/7	1/4	0/3	5/8	1/9	0/4	7/8	4/3	10/10	-	12/7	9/5	5/4	3/5
%(Rbound)%	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2
%(comp-h)%	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for %(whichLine)%.	The fractions line up; they are equivalent fractions!	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The fractions line up; they are equivalent fractions!	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The fractions line up; they are equivalent fractions!	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.	The fractions line up; they are equivalent fractions!	The %(small-big)% fraction is placed on the number line for the %(whichLine)%.
%(div2-h1)%	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"The problem did not give you a fraction for this line, but a number, ""1"". How would you think of it as a fraction?"	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."	"What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK."
%(div2-h2)%	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	"1 can be written as a fraction with any denominator, as long as the numerator is equal, like this: ""1/1"", ""2/2"", ""3/3"", and etc."	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	The fraction %(frac2)% should be placed here. What is the denominator? Use the denominator to evenly divide the number line.
%(div2-h3)%	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter any number you want into the box.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.	Enter %(den2)% into the box and press OK.
%(lin2-h1)%	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	"Click on the spot where ""1"" would lie on the number line."	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.	Click on the spot where the second fraction would be on this number line.
%(lin2-h2)%	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	"1 can be written as a fraction with any denominator, as long as the numerator is equal, like this: ""1/1"", ""2/2"", ""3/3"", and etc."	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.	What is the numerator of the fraction %(frac2)%? The numerator represents the number of parts you should count.
%(lin2-h3)%	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	"Click on the spot where the large tickmark says ""1""."	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.	Count %(num2)% part(s) from the left and click on the spot.
%(limit)%	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	none	none	none	none
%(skillName)%	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1
%(skillLabel)%	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1
