Problem Name	1	2	3	4	5	6	7	8
%(q2-target-h2)%	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?
%(q3-target-h1)%	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."
%(q3-target-h2)%	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?
%(q4-target-h1)%	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."
%(q4-target-h2)%	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?

%(total-h1)%	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.
%(total-h2)%	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?
%(q1-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%
%(q1-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%
%(q2-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%
%(q2-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%
%(q3-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%
%(q3-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%
%(q4-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%
%(q4-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%

%(unred-h1)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(unred-h2)%	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."

%(q1-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."
%(q1-ratio100-h2)%	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"
%(q1-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."
%(q2-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."
%(q2-ratio100-h2)%	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"
%(q2-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "
%(q3-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."
%(q3-ratio100-h2)%	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"
%(q3-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "
%(q4-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."
%(q4-ratio100-h2)%	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"
%(q4-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "

%(q1-percent-h1)%	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."
%(q1-percent-h2)%	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."
