Problem Name	01negativeslope	01negativeslopeESP	02negativeslope	02negativeslopeESP	03negativeslope	03negativeslopeESP	04negativeslope	04negativeslopeESP	05negativeslope	05negativeslopeESP	06negativeslope	06negativeslopeESP	07negativeslope	07negativeslopeESP	08negativeslope	08negativeslopeESP	09negativeslope	09negativeslopeESP
%(instructions_5)%	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	[google]Ingrese las coordenadas Y en la tabla, luego traza los puntos en la línea. Puede usar los puntos para leer los valores X.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	[google]Ingrese las coordenadas Y en la tabla, luego traza los puntos en la línea. Puede usar los puntos para leer los valores X.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	[google]Ingrese las coordenadas Y en la tabla, luego traza los puntos en la línea. Puede usar los puntos para leer los valores X.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	[google]Ingrese las coordenadas Y en la tabla, luego traza los puntos en la línea. Puede usar los puntos para leer los valores X.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	[google]Ingrese las coordenadas Y en la tabla, luego traza los puntos en la línea. Puede usar los puntos para leer los valores X.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	[google]Ingrese las coordenadas Y en la tabla, luego traza los puntos en la línea. Puede usar los puntos para leer los valores X.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	[google]Ingrese las coordenadas Y en la tabla, luego traza los puntos en la línea. Puede usar los puntos para leer los valores X.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	[google]Ingrese las coordenadas Y en la tabla, luego traza los puntos en la línea. Puede usar los puntos para leer los valores X.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	[google]Ingrese las coordenadas Y en la tabla, luego traza los puntos en la línea. Puede usar los puntos para leer los valores X.
%(instructions_6)%	Please work to define the equation of the line.	[google]Trabaje para definir la ecuación de la línea.	Please work to define the equation of the line.	[google]Trabaje para definir la ecuación de la línea.	Please work to define the equation of the line.	[google]Trabaje para definir la ecuación de la línea.	Please work to define the equation of the line.	[google]Trabaje para definir la ecuación de la línea.	Please work to define the equation of the line.	[google]Trabaje para definir la ecuación de la línea.	Please work to define the equation of the line.	[google]Trabaje para definir la ecuación de la línea.	Please work to define the equation of the line.	[google]Trabaje para definir la ecuación de la línea.	Please work to define the equation of the line.	[google]Trabaje para definir la ecuación de la línea.	Please work to define the equation of the line.	[google]Trabaje para definir la ecuación de la línea.
																		
%(visible1)%	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
%(visible2)%	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO	FALSE	[google]FALSA FALSO
%(lock)%	lock	[google]cerrar	lock	[google]cerrar	lock	[google]cerrar	lock	[google]cerrar	lock	[google]cerrar	lock	[google]cerrar	lock	[google]cerrar	lock	[google]cerrar	lock	[google]cerrar
%(visibleclass2)%	visible	[google]visible	visible	[google]visible	visible	[google]visible	visible	[google]visible	visible	[google]visible	visible	[google]visible	visible	[google]visible	visible	[google]visible	visible	[google]visible
%(visibleclass3)%																		
%(visibleclass4)%																		
%(visibleclass5)%																		
%(visibleclass6)%																		
%(mintraversals)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
																		
%(yreplace1)%	algEvaluate(input)	[google]Algevaluate (entrada)	algEvaluate(input)	[google]Algevaluate (entrada)	fmtDecimal(algEvaluate(input),2)	[google]fmtDecimal (Algevaluate (entrada), 2)	algEvaluate(input)	[google]Algevaluate (entrada)	(algEvaluate(input)	[google](Algevaluate (entrada)	algEvaluate(input)	[google]Algevaluate (entrada)	algEvaluate(input)	[google]Algevaluate (entrada)	algEvaluate(input)	[google]Algevaluate (entrada)	algEvaluate(input)	[google]Algevaluate (entrada)
%(yreplace2)%	input	[google]aporte	input	[google]aporte	fmtDecimal(input,2)	[google]fmtdecimal (entrada, 2)	input	[google]aporte	input	[google]aporte	input	[google]aporte	input	[google]aporte	input	[google]aporte	input	[google]aporte
																		
%(q1)%	How many people are in line in front of you after one minute?	[google]¿Cuántas personas están en línea frente a ti después de un minuto?	What floor will Vincent be at after one second?	[google]¿En qué piso estará Vincent después de un segundo?	How much is Barry's debt after three months?	[google]¿Cuánto cuesta la deuda de Barry después de tres meses?	How many messages do you have left after four days?	[google]¿Cuántos mensajes te quedan después de cuatro días?	How many workers does the factory still need if Jim buys two machines?	[google]¿Cuántos trabajadores aún necesita la fábrica si Jim compra dos máquinas?	How many leafs does the oak have left now?	[google]¿Cuántas hojas le queda el roble ahora?	If ten people come by, how much fruit will you have left?	[google]Si vienen diez personas, ¿cuánta fruta te quedarás?	16 seconds passed. How far above sea level is he?	[google]Pasaron 16 segundos. ¿Qué tan lejos del nivel del mar está?	Let's call 2006 year 0. How many billion letters were sent a year later?	[google]Llamemos a 2006 año 0. ¿Cuántos mil millones de cartas se enviaron un año después?
%(q2)%	How many people are in line in front of you after two minutes?	[google]¿Cuántas personas están en línea frente a ti después de dos minutos?	What floor will Vincent be at after four seconds?	[google]¿En qué piso estará Vincent después de cuatro segundos?	How many dollars are left to pay back after eight months?	[google]¿Cuántos dólares quedan para pagar después de ocho meses?	How many messages do you have left after two weeks?	[google]¿Cuántos mensajes te quedan después de dos semanas?	How many workers are needed if he gets ten machines?	[google]¿Cuántos trabajadores se necesitan si obtiene diez máquinas?	How many leafs are left after two weeks from now?	[google]¿Cuántas hojas quedan después de dos semanas a partir de ahora?	If 20 people come by, what will you have left?	[google]Si vienen 20 personas, ¿qué te quedarás?	33 seconds passed. What is the elevation (in feet)?	[google]Pasaron 33 segundos. ¿Cuál es la elevación (en los pies)?	How many billion letters will be sent in 2015?	[google]¿Cuántos mil millones de cartas se enviarán en 2015?
%(q3)%	How many people are in line in front of you after four minutes?	[google]¿Cuántas personas están en línea frente a ti después de cuatro minutos?	What floor will Vincent be at after twelve seconds?	[google]¿En qué piso estará Vincent después de doce segundos?	How much is his debt after one year? (assume there is no interest)	[google]¿Cuánto cuesta su deuda después de un año? (suponga que no hay interés)	How many messages do you have left at the end of the month (31 days)?	[google]¿Cuántos mensajes te quedan al final del mes (31 días)?	What number of workers does a factory need that has 25 machines?	[google]¿Qué número de trabajadores necesita una fábrica que tenga 25 máquinas?	Assume the tree has already lost leaves. How many leaves did the oak have two days earlier?	[google]Suponga que el árbol ya ha perdido hojas. ¿Cuántas hojas tuvo el roble dos días antes?	If 40 people visit your stand, how much will you have left?	[google]Si 40 personas visitan su puesto, ¿cuánto le quedará?	One minute passed, how far underground is the spy?	[google]Pasó un minuto, ¿qué tan bajo tierra está el espía?	How many billion letters were sent in 2001?	[google]¿Cuántos mil millones de cartas se enviaron en 2001?
%(q4)%	How long have you been waiting when there are 24 people in front of you left?	[google]¿Cuánto tiempo llevas esperando cuando quedan 24 personas frente a ti?	After how many seconds will Vincent reach the 51st floor? 	[google]¿Después de cuántos segundos llegará Vincent al piso 51?	When will the amount Barry owes be half of the original ($5,100)?	[google]¿Cuándo será la cantidad que Barry debe ser la mitad del original ($ 5,100)?	After how many days do you have half of your monthly messages left?	[google]Después de cuántos días te quedan la mitad de tus mensajes mensuales?	How many machines are needed to replace all workers?	[google]¿Cuántas máquinas se necesitan para reemplazar a todos los trabajadores?	After how many days is the oak barren (lost all its leafs)?	[google]¿Después de cuántos días es el roble estéril (perdido todas sus hojas)?	How many people have gotten fruit from you if you have 100 pieces left?	[google]¿Cuántas personas te han recibido fruto si te quedan 100 piezas?	After how many seconds was the elevator at sea level?	[google]¿Después de cuántos segundos fue el elevador al nivel del mar?	In what year were there 48.6 billion letters sent?	[google]¿En qué año se enviaron 48.6 mil millones de cartas?
%(q5)%	After how many minutes are you in front of the line?	[google]¿Después de cuántos minutos estás frente a la línea?	How long does it take to go from the top all the way to the 1st floor?	[google]¿Cuánto tiempo se tarda en pasar desde la cima hasta el primer piso?	After how many months will his debt be payed off?	[google]Después de cuántos meses se pagará su deuda?	You cancel your contract and get no more new messages, but you can still send texts until you've used them all. When will you have depleted your 800 texts?	[google]Cancela su contrato y no recibe más mensajes nuevos, pero aún puede enviar mensajes de texto hasta que los haya usado todos. ¿Cuándo habrá agotado sus 800 textos?	Jim decides he needs 348 workers. How many machines does he need to buy?	[google]Jim decide que necesita 348 trabajadores. ¿Cuántas máquinas necesita comprar?	In the summer, the oak had 3720 leafs. How many days ago did the oak last have 3720 leafs?	[google]En el verano, el roble tenía 3720 hojas. ¿Cuántos días el roble tuvo al final de 3720 hojas?	How many people can come by before you run out of fruit?	[google]¿Cuántas personas pueden venir antes de que te quedes sin fruto?	The elevator finally comes to a halt at -875 feet. How many seconds has the spy been in the elevator?	[google]El ascensor finalmente se detiene a -875 pies. ¿Cuántos segundos ha estado el espía en el ascensor?	Assume this trend continues in the future. How many years from 2006 will the number of letters sent be only 1.1 billion?	[google]Suponga que esta tendencia continúa en el futuro. ¿Cuántos años a partir de 2006 será el número de cartas enviadas solo 1.100 millones?
																		
%(xlabel)%	time	tiempo	time	tiempo	time	tiempo	time	tiempo	machines needed	maquinas necesarias	time	tiempo	people coming by	gente que viene	time	tiempo	time	tiempo
%(ylabel)%	the line	la línea	height	altura	debt	deuda	text messages left	mensajes de texto dejados	workers needed	trabajadores necesarios	leafs left	hojas a la izquierda	fruit left	fruta dejada	elevation	elevación	letters sent	cartas enviadas
%(xunit)%	minutes	minutos	seconds	segundos	months	meses	days	dias	machines	máquinas	days	dias	people	personas	seconds	segundos	years	años
%(yunit)%	people	personas	floors	pisos	dollars	dólares	texts	textos	workers	trabajadores	leafs	hojas	pieces of fruit	trozos de fruta	feet	pies	billion letters	mil millones de letras
																		
%(xlabellist)%	"""time"",""duration"",""period"""	"[google]""tiempo"", ""duración"", ""período"""	"""time"",""duration"",""period"""	"[google]""tiempo"", ""duración"", ""período"""	"""time"",""duration"",""period"""	"[google]""tiempo"", ""duración"", ""período"""	"""time"",""duration"",""period"""	"[google]""tiempo"", ""duración"", ""período"""	"""machines needed"",""number of machines"",""#machines"",""number of machines needed"",""cloth machines"""	"[google]""Máquinas necesarias"", ""Número de máquinas"", ""#máquinas"", ""Número de máquinas necesarias"", ""Máquinas de tela"""	"""time"",""duration"",""period"""	"[google]""tiempo"", ""duración"", ""período"""	"""people coming by"",""people getting fruit"",""visitors"",""school fair visitors"",""random people"",""people wanting fruit"",""hungy people"",""number of people coming by"",""number of people"",""#people"""	"[google]""Las personas que pasan"", ""personas reciben fruto"", ""visitantes"", ""visitantes de la feria escolar"", ""personas al azar"", ""personas que desean fruto"", ""personas hambrientas"", ""número de personas que pasan"", ""Número de personas "",""#gente"""	"""time"",""duration"",""period"""	"[google]""tiempo"", ""duración"", ""período"""	"""time"",""duration"",""period"""	"[google]""tiempo"", ""duración"", ""período"""
%(ylabellist)%	"""line"",""queue"",""waiting line"",""people waiting"",""people lining up"",""people waiting in front"",""line count"",""line length"""	"[google]""Línea"", ""cola"", ""línea de espera"", ""gente esperando"", ""personas que se alinean"", ""personas que esperan en frente"", ""cuenta de la línea"", ""longitud de línea"""	"""distance"",""height"",""elevation"",""floors"",""elevator height"",""floor count"",""elevator position"",""elevator floor"""	"[google]""Distancia"", ""altura"", ""elevación"", ""pisos"", ""altura del ascensor"", ""conteo de piso"", ""posición del elevador"", ""piso del elevador"""	"""debt"",""loan"",""owed"",""money owed"",""dollars owed"",""money to pay back"",""loan left"",""money left"",""debt left"",""remaining debt"",""to be payed-off"""	"[google]""deuda"", ""préstamo"", ""debida"", ""dinero adeudado"", ""dólares adeudados"", ""dinero para pagar"", ""préstamo izquierdo"", ""dinero izquierdo"", ""deuda dejada"", ""deuda restante"", "","", "","", "","", "","", "","", "", deuda restante"", "","", "", ser pagado """	"""text messages left"",""texts left"",""messages left"",""text messages remaining"",""texts remaining"",""messages remaining"",""sms left"",""number of texts"",""#texts"",""number of messages"",'#messags',""number of text messages"""	"[google]""Mensajes de texto a la izquierda"", ""Textos restantes"", ""mensajes quedados"", ""mensajes de texto restantes"", ""textos restantes"", ""mensajes restantes"", ""SMS izquierda"", ""número de textos"", ""#textos"", ""número de mensajes "", '#Messags',"" Número de mensajes de texto """	"""workers needed"",""number of workers"",""#workers"",""number of workers needed"",""number of human workers"",""people needed"",""human workers needed"",""people working"",""employees needed"""	"[google]""Los trabajadores necesarios"", ""número de trabajadores"", ""#trabajadores"", ""número de trabajadores necesarios"", ""número de trabajadores humanos"", ""personas necesarias"", ""trabajadores humanos necesarios"", ""personas que trabajan"", ""empleados necesarios"""	"""leafs left"",""number of leafs"",""#leafs"",""leafs on tree"",""leafs on oak"",""oak leafs"",""oak leafs left"",""tree leafs left"",""leafs left on tree"",""leafs left on oak"",""leaves hanging"""	"[google]""Leafs izquierda"", ""número de hojas"", ""#hoja"", ""hojas en el árbol"", ""hojas en roble"", ""hoja de roble"", ""hoja de roble se quedan"", ""hojas "","" Leafs dejadas en roble "","" Hojas colgadas """	"""fruit left"",""pieces of fruit left"",""number of pieces of fruit left"",""amount of fruit left"""	"[google]""Fruta izquierda"", ""Piezas de fruta izquierda"", ""Número de piezas de fruta que quedan"", ""Cantidad de fruta restante"""	"""elevation"",""distance"",""height"",""distance above sealevel"",""elevation above sealevel"",""distance from sealevel"",""height above sealevel"""	"[google]""Elevación"", ""distancia"", ""altura"", ""distancia sobre el nivel del mar"", ""elevación sobre el nivel del mar"", ""distancia desde el nivel del mar"", ""altura sobre el nivel del mar"""	"""letters sent"",""mail sent"",""amount of mail sent"",""number of letters sent"",""billions of letters sent"",""normal letters sent"",""letters sent in the US"",""mail sent in the US"",""US mail"""	"[google]""Cartas enviadas"", ""Correo enviado"", ""Cantidad de correo enviado"", ""Número de cartas enviadas"", ""miles de millones de cartas enviadas"", ""Cartas normales enviadas"", ""Cartas enviadas en los EE. UU."", ""Correo enviado en el Estados Unidos "","" Correo estadounidense """
%(xunitlist)%	"""minutes"",""minute"",""mins"",""min"""	"[google]""minutos"", ""minuto"", ""mins"", ""min"""	"""seconds"",""second"",""sec"",""secs"""	"[google]""Segundos"", ""segundo"", ""sec"", ""secs"""	"""months"",""month"""	"[google]""meses"", ""mes"""	"""days"",""day"""	"[google]""Días"", ""día"""	"""machines"",""number of machines"",""#machines"""	"[google]""Máquinas"", ""Número de máquinas"", ""#Máquinas"""	"""days"",""day"""	"[google]""Días"", ""día"""	"""people"",""visitors"",""number of people"",""#people"""	"[google]""gente"", ""visitantes"", ""número de personas"", ""#personas"""	"""seconds"",""second"",""sec"",""secs"""	"[google]""Segundos"", ""segundo"", ""sec"", ""secs"""	"""years"",""year"",""years from 2006"",""years passed"""	"[google]""años"", ""año"", ""años de 2006"", ""años aprobados"""
%(yunitlist)%	"""people"",""people waiting"",""customers"",""people in front"""	"[google]""gente"", ""gente esperando"", ""clientes"", ""personas al frente"""	"""floors"",""floor"",""level"",""levels"""	"[google]""pisos"", ""piso"", ""nivel"", ""niveles"""	"""dollar"",""dollars"",""$"",""$$"",""bucks"""	"[google]""Dollar"", ""Dollars"", ""$"", ""$$"", ""Bucks"""	"""texts"",""messages"",""text messages"",""sms"""	"[google]""Textos"", ""Mensajes"", ""Mensajes de texto"", ""SMS"""	"""workers"",""number of workers"",""#workes"",""people needed"",""employees"",""amount of people"",""human workers"",""number of employees"",""#employees"""	"[google]""Trabajadores"", ""Número de trabajadores"", ""#trabajos"", ""personas necesarias"", ""empleados"", ""cantidad de personas"", ""trabajadores humanos"", ""número de empleados"", ""#empleados"""	"""leafs"",""number of leafs"",""leafs left"""	"[google]""Leafs"", ""Número de hojas"", ""Lets Left"""	"""fruit"",""pieces of fruit"",""fruit left"",""number of pieces"",""#pieces"",""amount of fruit"""	"[google]""fruta"", ""piezas de fruta"", ""fruta izquierda"", ""número de piezas"", ""#piezas"", ""cantidad de fruta"""	"""feet"",""feet above sealevel"",""ft"",""ft."",""foot"""	"[google]""pies"", ""pies sobre el nivel del mar"", ""ft"", ""ft."", ""ft"""	"""billion letters"",""letters sent in billions"",""billion letters sent"",""letters in billions"""	"[google]""mil millones de cartas"", ""cartas enviadas en miles de millones"", ""mil millones de cartas enviadas"", ""Cartas en miles de millones"""
																		
%(point1x)%	1	1	1	1	3	3	4	4	2	2	0	0	10	10	16	16	1	1
%(point1y)%	36	36	99	99	9300	9300	720	720	876	876	3000	3000	160	160	800	800	41.1	41.1
																		
%(point2x)%	2	2	4	4	8	8	14	14	10	10	14	14	20	20	33	33	9	9
%(point2y)%	30	30	93	93	7800	7800	520	520	780	780	1320	1320	120	120	375	375	21.1	21.1
																		
%(point3x)%	4	4	12	12	12	12	31	31	25	25	-2	-2	40	40	60	60	-5	-5
%(point3y)%	18	18	77	77	6600	6600	180	180	600	600	3240	3240	40	40	-300	-300	56.1	56.1
																		
%(point4x)%	3	3	25	25	17	17	20	20	75	75	25	25	25	25	48	48	-2	-2
%(point4y)%	24	24	51	51	5100	5100	400	400	0	0	0	0	100	100	0	0	48.6	48.6
																		
%(point5x)%	7	7	50	50	34	34	40	40	46	46	-6	-6	50	50	83	83	17	17
%(point5y)%	0	0	1	1	0	0	0	0	348	348	3720	3720	0	0	-875	-875	1.1	1.1
																		
%(slope)%	-6	-6	-2	-2	-300	-300	-20	-20	-12	-12	-120	-120	-4	-4	-25	-25	-2.5	-2.5
%(initial_value)%	+ 42	[google]+ 42	+ 101	[google]+ 101	+ 10200	[google]+ 10200	+ 800	[google]+ 800	+ 900	[google]+ 900	+ 3000	[google]+ 3000	+ 200	[google]+ 200	+ 1200	[google]+ 1200	+ 43.6	[google]+ 43.6
																		
