Problem Name	Problem 1	Problem 2	Problem 3	Problem 12	Problem 13	Problem 14	Problem 15	Problem 21
%(denom)%	10	5	4	7	5	10	3	15
								
%(hint11)%	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description
%(hint12)%	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?
%(hint13)%	Please enter '140' in the highlighted field.	Please enter '72' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '42' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '3652' in the highlighted field.	Please enter '187' in the highlighted field.
								
%(hint21)%	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description
%(hint22)%	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?
%(hint23)%	Please enter '7/10' in the highlighted field.	Please enter '4/5' in the highlighted field.	Please enter '3/4' in the highlighted field.	Please enter '6/7' in the highlighted field.	Please enter '3/5' in the highlighted field.	Please enter '9/10' in the highlighted field.	Please enter '2/3' in the highlighted field.	Please enter '11/15' in the highlighted field.
								
%(hint31)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(hint32)%	Try dividing one of the givens by the total number of parts of distance.	Try dividing one of the givens by the number of parts of his workout already completed.	Try dividing one of the givens by the number of parts completed.	Try dividing one of the givens by the number of parts completed.	Try dividing one of the givens by the number of parts filled.	Try dividing one of the givens by the number of parts completed.	Try dividing one of the givens by the number of parts completed.	Try dividing one of the givens by the number of parts of boxes already sold.
%(hint33)%	Please enter '140/7' in the highlighted field.	Please enter '72/4' in the highlighted field.	Please enter '15/3' in the highlighted field.	Please enter '42/6' in the highlighted field.	Please enter '9/3' in the highlighted field.	Please enter '45/9' in the highlighted field.	Please enter '3652/2' in the highlighted field.	Please enter '187/11' in the highlighted field.
								
%(hint41)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(hint42)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(hint43)%	Please enter '20' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '1826' in the highlighted field.	Please enter '17' in the highlighted field.
								
%(hint51)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(hint52)%	Try multiplying your previous answer by the number of parts already driven.	Try multiplying your previous answer by the number of total parts of his workout.	Try multiplying your previous answer by 4.	Try multiplying your previous answer by 7.	Try multiplying your previous answer by 5.	Try multiplying your previous answer by 10.	Try multiplying your previous answer by 3.	Try multiplying your previous answer by the total number of parts into which the boxes of cookies have been divided.
%(hint53)%	Please enter '20*10' in the highlighted field.	Please enter '18*5' in the highlighted field.	Please enter '5*4' in the highlighted field.	Please enter '7*7' in the highlighted field.	Please enter '3*5' in the highlighted field.	Please enter '5*10' in the highlighted field.	Please enter '1826*3' in the highlighted field.	Please enter '17*15' in the highlighted field.
								
%(hint61)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(hint62)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(hint63)%	Please enter '200' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '49' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '5478' in the highlighted field.	Please enter '255' in the highlighted field.
								
%(hint71)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(hint72)%	Try subtracting one of the givens from your previous answer.	Try subtracting your previous answer from one of the givens.	Try subtracting one of the givens from your previous answer.	Try subtracting one of the givens from your previous answer.	Try subtracting one of the givens from your previous answer.	Try subtracting one of the givens from your previous answer.	Try subtracting one of the givens from your previous answer.	Try subtracting your previous answer from one of the givens.
%(hint73)%	Please enter '200-140' in the highlighted field.	Please enter '90-72' in the highlighted field.	Please enter '20-15' in the highlighted field.	Please enter '49-42' in the highlighted field.	Please enter '15-9' in the highlighted field.	Please enter '50-45' in the highlighted field.	Please enter '5478-3652' in the highlighted field.	Please enter '255-187' in the highlighted field.
								
%(hint81)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(hint82)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(hint83)%	Please enter '60' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '1826' in the highlighted field.	Please enter '68' in the highlighted field.
								
%(expression1)%	140/7	72/4	15/3	42/6	9/3	45/9	3652/2	187/11
%(expression2)%	20*10	18*5	5*4	7*7	3*5	5*10	1826*3	17*15
%(expression3)%	200-140	90-72	20-15	49-42	15-9	50-45	5478-3652	255-187
%(value1)%	20	18	5	7	3	5	1826	17
%(value2)%	200	90	20	49	15	50	5472	255
%(value3)%	60	18	5	7	6	5	1826	68
								
%(given_skill1)%	Enter_given_part	Enter_given_part	Enter_given_part	Enter_given_part	Enter_given_part	Enter_given_part	Enter_given_part	Enter_given_part
%(given_skill2)%	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio	Enter_given_ratio
%(show_work_skill1)%	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part	Write_expression_for_one_part
%(answer_skill1)%	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part	Solve_for_one_part
%(show_work_skill2)%	Write_expression_for_total	Write_expression_for_total	Write_expression_for_total	Write_expression_for_total	Write_expression_for_total	Write_expression_for_total	Write_expression_for_total	Write_expression_for_total
%(answer_skill2)%	Solve_for_total	Solve_for_total	Solve_for_total	Solve_for_total	Solve_for_total	Solve_for_total	Solve_for_total	Solve_for_total
%(show_work_skill3)%	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining	Write_expression_for_remaining
%(answer_skill3)%	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining	Solve_for_remaining
								
%(given_skill1_shown)%	Enter given part	Enter given part	Enter given part	Enter given part	Enter given part	Enter given part	Enter given part	Enter given part
%(given_skill2_shown)%	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio	Enter given ratio
%(show_work_skill1_shown)%	Show work for part	Show work for part	Show work for part	Show work for part	Show work for part	Show work for part	Show work for part	Show work for part
%(answer_skill1_shown)%	Solve for part	Solve for part	Solve for part	Solve for part	Solve for part	Solve for part	Solve for part	Solve for part
%(show_work_skill2_shown)%	Show work for total	Show work for total	Show work for total	Show work for total	Show work for total	Show work for total	Show work for total	Show work for total
%(answer_skill2_shown)%	Solve for total	Solve for total	Solve for total	Solve for total	Solve for total	Solve for total	Solve for total	Solve for total
%(show_work_skill3_shown)%	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part	Show work for remaining part
%(answer_skill3_shown)%	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part	Solve for remaining part 
%(-8988572885511253389)%	Try subtracting one of the givens from your previous answer.	Try subtracting your previous answer from one of the givens.	Try subtracting one of the givens from your previous answer.	Try subtracting one of the givens from your previous answer.	Try subtracting one of the givens from your previous answer.	Try subtracting one of the givens from your previous answer.	Try subtracting one of the givens from your previous answer.	Try subtracting your previous answer from one of the givens.
%(4458155188253298405)%	Please enter '7/10' in the highlighted field.	Please enter '4/5' in the highlighted field.	Please enter '3/4' in the highlighted field.	Please enter '6/7' in the highlighted field.	Please enter '3/5' in the highlighted field.	Please enter '9/10' in the highlighted field.	Please enter '2/3' in the highlighted field.	Please enter '11/15' in the highlighted field.
%(-5166532556208710060)%	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."
%(8458158188149298124)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(6458144188135298222)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(-5541900811812701631)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(-8988573885515253386)%	Please enter '200-140' in the highlighted field.	Please enter '90-72' in the highlighted field.	Please enter '20-15' in the highlighted field.	Please enter '49-42' in the highlighted field.	Please enter '15-9' in the highlighted field.	Please enter '50-45' in the highlighted field.	Please enter '5478-3652' in the highlighted field.	Please enter '255-187' in the highlighted field.
%(6458145188139298219)%	Please enter '20' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '1826' in the highlighted field.	Please enter '17' in the highlighted field.
%(8458161188181298183)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(7458148188052297872)%	Please enter '20*10' in the highlighted field.	Please enter '18*5' in the highlighted field.	Please enter '5*4' in the highlighted field.	Please enter '7*7' in the highlighted field.	Please enter '3*5' in the highlighted field.	Please enter '5*10' in the highlighted field.	Please enter '1826*3' in the highlighted field.	Please enter '17*15' in the highlighted field.
%(7458149188056297965)%	Try multiplying your previous answer by the number of parts already driven.	Try multiplying your previous answer by the number of total parts of his workout.	Try multiplying your previous answer by 4.	Try multiplying your previous answer by 7.	Try multiplying your previous answer by 5.	Try multiplying your previous answer by 10.	Try multiplying your previous answer by 3.	Try multiplying your previous answer by the total number of parts into which the boxes of cookies have been divided.
%(-5541898811816701569)%	Please enter '60' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '1826' in the highlighted field.	Please enter '68' in the highlighted field.
%(3458144188136298076)%	Please enter '140' in the highlighted field.	Please enter '72' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '42' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '3652' in the highlighted field.	Please enter '187' in the highlighted field.
%(6458143188047297965)%	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?	What's the answer to the mathematical expression you used in the previous step?
%(5458135188026297887)%	Try dividing one of the givens by the total number of parts of distance.	Try dividing one of the givens by the number of parts of his workout already completed.	Try dividing one of the givens by the number of parts completed.	Try dividing one of the givens by the number of parts completed.	Try dividing one of the givens by the number of parts filled.	Try dividing one of the givens by the number of parts completed.	Try dividing one of the givens by the number of parts completed.	Try dividing one of the givens by the number of parts of boxes already sold.
%(3458146188148298154)%	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description
%(4458157188249298307)%	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description
%(5458134188038297970)%	Please enter '140/7' in the highlighted field.	Please enter '72/4' in the highlighted field.	Please enter '15/3' in the highlighted field.	Please enter '42/6' in the highlighted field.	Please enter '9/3' in the highlighted field.	Please enter '45/9' in the highlighted field.	Please enter '3652/2' in the highlighted field.	Please enter '187/11' in the highlighted field.
%(5458132188026297956)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(8458159188153298121)%	Please enter '200' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '49' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '5478' in the highlighted field.	Please enter '255' in the highlighted field.
%(-8988575885511253416)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(3458145188140298073)%	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?
%(-7538229578606087202)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(4458154188249298408)%	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?
%(-5541899811804701614)%	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?	What number did the 'show your work' step give you?
%(7458150188144298222)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
