Problem Name	1	2	3	4	5
%(31trav-max)%	1	1	1	1	1
%(32trav-max)%	0	1	1	0	1
%(33trav-max)%	1	0	0	1	0
%(34trav-max)%	1	1	1	1	1
					
%(11hint-1)%					
%(11hint-2)%					
%(11hint-3)%					
%(12hint-1)%					
%(12hint-2)%					
%(12hint-3)%					
%(13hint-1)%					
%(13hint-2)%					
%(13hint-3)%					
%(14hint-1)%					
%(14hint-2)%					
%(14hint-3)%					
					
%(21hint-1)%					
%(21hint-2)%					
%(21hint-3)%					
%(22hint-1)%					
%(22hint-2)%					
%(22hint-3)%					
%(23hint-1)%					
%(23hint-2)%					
%(23hint-3)%					
%(24hint-1)%					
%(24hint-2)%					
%(24hint-3)%					
					
%(31hint-1)%					
%(31hint-2)%					
%(31hint-3)%					
%(32hint-1)%					
%(32hint-2)%					
%(32hint-3)%					
%(33hint-1)%					
%(33hint-2)%					
%(33hint-3)%					
%(34hint-1)%					
%(34hint-2)%					
%(34hint-3)%					
					
%(r1c1-faded-value)%	0	6	6		
%(r1c2-faded-value)%	9	3	2		
%(r1c3-faded-value)%	2	9			
%(r1c4-faded-value)%	1	0			
%(r2c1-faded-value)%	0				
%(r2c2-faded-value)%	9				
%(r2c3-faded-value)%	0				
%(r2c4-faded-value)%	21				
